Year,State Code,STATE,Districts,PRIMARY SECTOR,SECONDARY SECTOR,TERTIARY SECTOR,TOTAL CURRENT PRICES,PER CAPITA CURRENT PRICES
2008,16,UTTARAKHAND,NAINITAL,7178,18947,25510,51635,58
2009,16,UTTARAKHAND,NAINITAL,8863,23943,32261,65068,71
2010,16,UTTARAKHAND,NAINITAL,9631,29204,38179,77014,83
2011,16,UTTARAKHAND,NAINITAL,11001,33673,44638,89312,94
2012,16,UTTARAKHAND,NAINITAL,12588,39782,51260,103630,106
2013,16,UTTARAKHAND,NAINITAL,13977,46884,59295,120155,120
2007,16,UTTARAKHAND,ALMORAH,3904,4786,9399,18089,29
2008,16,UTTARAKHAND,ALMORAH,4513,5289,11809,21611,35
2009,16,UTTARAKHAND,ALMORAH,5105,6615,14951,26671,43
2010,16,UTTARAKHAND,ALMORAH,6937,8213,17232,32382,52
2011,16,UTTARAKHAND,ALMORAH,8053,9085,19560,36697,59
2012,16,UTTARAKHAND,ALMORAH,9374,11429,22290,43092,69
2013,16,UTTARAKHAND,ALMORAH,10572,13625,25578,49775,80
2007,16,UTTARAKHAND,PITHORGARH,4081,3805,9902,17787,37
2008,16,UTTARAKHAND,PITHORGARH,4744,4074,12351,21168,44
2009,16,UTTARAKHAND,PITHORGARH,5002,5485,15828,26315,55
2010,16,UTTARAKHAND,PITHORGARH,6103,6684,17958,30745,64
2011,16,UTTARAKHAND,PITHORGARH,7116,7770,20353,35239,73
2012,16,UTTARAKHAND,PITHORGARH,8298,9543,22941,40781,84
2013,16,UTTARAKHAND,PITHORGARH,9358,11609,26083,47049,96
2007,16,UTTARAKHAND,CHAMOLI,3351,6125,11322,20798,54
2008,16,UTTARAKHAND,CHAMOLI,3887,6866,14517,25269,66
2009,16,UTTARAKHAND,CHAMOLI,5073,7278,18811,31163,80
2010,16,UTTARAKHAND,CHAMOLI,6274,9309,21744,37327,96
2011,16,UTTARAKHAND,CHAMOLI,7358,10195,25016,42568,109
2012,16,UTTARAKHAND,CHAMOLI,8620,12188,28780,49588,126
2013,16,UTTARAKHAND,CHAMOLI,9756,14449,33431,57636,146
2007,16,UTTARAKHAND,UTTAR KASHI,3521,829,7561,11911,38
2008,16,UTTARAKHAND,UTTAR KASHI,4096,835,9603,14533,46
2009,16,UTTARAKHAND,UTTAR KASHI,4946,1043,12466,18455,57
2010,16,UTTARAKHAND,UTTAR KASHI,6146,1241,14511,21897,67
2011,16,UTTARAKHAND,UTTAR KASHI,6957,1281,16888,25125,76
2012,16,UTTARAKHAND,UTTAR KASHI,7893,1539,19380,28812,86
2013,16,UTTARAKHAND,UTTAR KASHI,8647,1708,22474,32829,97
2007,16,UTTARAKHAND,TEHRI GARHWAL,3711,5749,10298,19759,32
2008,16,UTTARAKHAND,TEHRI GARHWAL,4283,6356,12986,23625,38
2009,16,UTTARAKHAND,TEHRI GARHWAL,4222,8039,16990,29250,47
2010,16,UTTARAKHAND,TEHRI GARHWAL,5655,9764,20175,35594,58
2011,16,UTTARAKHAND,TEHRI GARHWAL,6631,10104,23946,40681,66
2012,16,UTTARAKHAND,TEHRI GARHWAL,7766,12116,28009,47891,77
2013,16,UTTARAKHAND,TEHRI GARHWAL,8767,14167,32911,55845,90
2007,16,UTTARAKHAND,GARHWAL,4725,5808,11704,22236,32
2008,16,UTTARAKHAND,GARHWAL,5373,6612,14778,26762,39
2009,16,UTTARAKHAND,GARHWAL,5462,8282,19013,32757,48
2010,16,UTTARAKHAND,GARHWAL,7346,10277,22480,40104,58
2011,16,UTTARAKHAND,GARHWAL,8546,12399,26302,47247,69
2012,16,UTTARAKHAND,GARHWAL,9920,15349,30269,55538,81
2013,16,UTTARAKHAND,GARHWAL,11088,17929,35085,64101,93
2007,17,ASSAM,CACHAR,14282,8926,20692,43900,27
2008,17,ASSAM,CACHAR,15845,11989,23367,51201,31
2009,17,ASSAM,CACHAR,18004,13830,28471,60305,36
2010,17,ASSAM,CACHAR,20630,18595,33664,72888,43
2011,17,ASSAM,CACHAR,23411,20238,37822,81472,47
2012,17,ASSAM,CACHAR,26269,22940,44257,93467,53
2013,17,ASSAM,CACHAR,30929,25581,50452,106962,59
2007,17,ASSAM,DARRANG,5831,3077,6035,14943,17
2008,17,ASSAM,DARRANG,6190,3524,6875,16589,19
2009,17,ASSAM,DARRANG,7554,4228,8493,20275,23
2010,17,ASSAM,DARRANG,10026,5434,9631,25090,28
2011,17,ASSAM,DARRANG,10997,4646,11074,26717,29
2012,17,ASSAM,DARRANG,11922,5161,12747,29830,32
2013,17,ASSAM,DARRANG,13519,5665,14689,33872,35
2007,17,ASSAM,DIBRUGARH,20387,23735,30556,74677,59
2008,17,ASSAM,DIBRUGARH,28318,27212,34173,89703,70
2009,17,ASSAM,DIBRUGARH,39481,31345,34791,105616,81
2010,17,ASSAM,DIBRUGARH,45834,35773,47557,129165,98
2011,17,ASSAM,DIBRUGARH,50801,40000,53128,143928,109
2012,17,ASSAM,DIBRUGARH,55757,44253,60752,160762,120
2013,17,ASSAM,DIBRUGARH,64058,49619,71010,184687,136
2007,17,ASSAM,GOALPARA,5926,3102,8293,17322,19
2008,17,ASSAM,GOALPARA,6738,3866,9344,19947,21
2009,17,ASSAM,GOALPARA,7023,4593,11335,22951,24
2010,17,ASSAM,GOALPARA,7079,5950,12894,25924,26
2011,17,ASSAM,GOALPARA,8160,5633,14385,28178,28
2012,17,ASSAM,GOALPARA,9347,4613,16558,30518,30
2013,17,ASSAM,GOALPARA,11252,5118,19116,35487,34
2007,17,ASSAM,KAMRUP,4129,10780,23763,38672,28
2008,17,ASSAM,KAMRUP,4218,12802,26951,43971,32
2009,17,ASSAM,KAMRUP,4892,15094,32254,52239,37
2010,17,ASSAM,KAMRUP,6330,19761,35099,61189,42
2011,17,ASSAM,KAMRUP,6919,24091,40648,71658,47
2012,17,ASSAM,KAMRUP,7492,26577,45221,79290,50
2013,17,ASSAM,KAMRUP,8525,30975,52032,91532,56
2007,17,ASSAM,KARBI ANGLONG,8989,3398,9303,21690,24
2008,17,ASSAM,KARBI ANGLONG,10252,4025,10337,24614,27
2009,17,ASSAM,KARBI ANGLONG,12404,4680,12557,29641,32
2010,17,ASSAM,KARBI ANGLONG,13780,5344,13752,32876,35
2011,17,ASSAM,KARBI ANGLONG,16253,5738,15179,37169,39
2012,17,ASSAM,KARBI ANGLONG,18782,6308,17086,42176,43
2013,17,ASSAM,KARBI ANGLONG,22721,7065,19502,49288,50
2007,17,ASSAM,LAKHIMPUR,5153,2415,9652,17220,18
2008,17,ASSAM,LAKHIMPUR,5693,3053,10213,18958,19
2009,17,ASSAM,LAKHIMPUR,7361,3658,10337,21355,21
2010,17,ASSAM,LAKHIMPUR,7463,4325,12684,24472,24
2011,17,ASSAM,LAKHIMPUR,8445,5019,13629,27093,26
2012,17,ASSAM,LAKHIMPUR,9446,5497,14887,29830,28
2013,17,ASSAM,LAKHIMPUR,11062,5942,16436,33439,31
2007,17,ASSAM,NORTH CACHAR HIL / DIMA HASAO,2507,3169,3408,9084,45
2008,17,ASSAM,NORTH CACHAR HIL / DIMA HASAO,2780,3679,3773,10232,50
2009,17,ASSAM,NORTH CACHAR HIL / DIMA HASAO,3053,4588,4132,11773,56
2010,17,ASSAM,NORTH CACHAR HIL / DIMA HASAO,3075,5687,4862,13623,64
2011,17,ASSAM,NORTH CACHAR HIL / DIMA HASAO,3553,6840,5320,15713,73
2012,17,ASSAM,NORTH CACHAR HIL / DIMA HASAO,3969,6429,5947,16344,75
2013,17,ASSAM,NORTH CACHAR HIL / DIMA HASAO,4643,7263,6629,18535,84
2007,17,ASSAM,NAGAON,12809,5996,22368,41173,16
2008,17,ASSAM,NAGAON,13054,7628,24910,45593,17
2009,17,ASSAM,NAGAON,17718,8824,30187,56729,21
2010,17,ASSAM,NAGAON,19918,11077,32775,63770,23
2011,17,ASSAM,NAGAON,21646,12864,36069,70580,25
2012,17,ASSAM,NAGAON,23239,13944,40574,77758,27
2013,17,ASSAM,NAGAON,26112,15857,45943,87911,30
2007,17,ASSAM,SIBSAGAR,16753,29986,20057,66797,60
2008,17,ASSAM,SIBSAGAR,18029,34349,22438,74815,67
2009,17,ASSAM,SIBSAGAR,16242,39673,23236,79152,70
2010,17,ASSAM,SIBSAGAR,17201,43696,31915,92812,81
2011,17,ASSAM,SIBSAGAR,19031,48781,36152,103964,90
2012,17,ASSAM,SIBSAGAR,20842,54211,42063,117116,101
2013,17,ASSAM,SIBSAGAR,23905,60323,49273,133501,114
2007,18,HIMACHAL PRADESH,BILASHPUR,4981,6916,7169,19065,52
2008,18,HIMACHAL PRADESH,BILASHPUR,3325,7980,8952,20256,55
2009,18,HIMACHAL PRADESH,BILASHPUR,3168,9765,11052,23984,64
2010,18,HIMACHAL PRADESH,BILASHPUR,3701,10763,14285,28749,76
2011,18,HIMACHAL PRADESH,BILASHPUR,4356,12024,17312,33691,88
2012,18,HIMACHAL PRADESH,BILASHPUR,5295,12499,21189,38983,101
2013,18,HIMACHAL PRADESH,BILASHPUR,6122,12941,25285,44349,113
2007,18,HIMACHAL PRADESH,CHAMBA,6670,6498,7351,20520,41
2008,18,HIMACHAL PRADESH,CHAMBA,6774,7461,9382,23617,47
2009,18,HIMACHAL PRADESH,CHAMBA,8172,7712,10974,26858,53
2010,18,HIMACHAL PRADESH,CHAMBA,8430,8523,13877,30830,60
2011,18,HIMACHAL PRADESH,CHAMBA,9621,7918,16642,34181,66
2012,18,HIMACHAL PRADESH,CHAMBA,11080,8442,19791,39313,75
2013,18,HIMACHAL PRADESH,CHAMBA,12268,8935,23162,44365,83
2007,18,HIMACHAL PRADESH,KANGRA,15146,20559,26592,62296,43
2008,18,HIMACHAL PRADESH,KANGRA,19841,26961,32203,79005,54
2009,18,HIMACHAL PRADESH,KANGRA,22891,31191,38828,92909,63
2010,18,HIMACHAL PRADESH,KANGRA,25708,36948,48258,110915,74
2011,18,HIMACHAL PRADESH,KANGRA,28818,43636,56949,129402,86
2012,18,HIMACHAL PRADESH,KANGRA,33856,48815,67483,150154,98
2013,18,HIMACHAL PRADESH,KANGRA,37756,51282,79002,168039,109
2007,18,HIMACHAL PRADESH,KINNAUR,840,4262,2574,7676,94
2008,18,HIMACHAL PRADESH,KINNAUR,879,6089,3158,10125,123
2009,18,HIMACHAL PRADESH,KINNAUR,888,6113,3815,10816,130
2010,18,HIMACHAL PRADESH,KINNAUR,880,6217,4708,11805,141
2011,18,HIMACHAL PRADESH,KINNAUR,1077,5434,5555,12066,143
2012,18,HIMACHAL PRADESH,KINNAUR,1222,4774,6382,12378,146
2013,18,HIMACHAL PRADESH,KINNAUR,1367,4626,7183,13176,154
2007,18,HIMACHAL PRADESH,KULLU,5040,8907,8554,22501,54
2008,18,HIMACHAL PRADESH,KULLU,5142,11993,10593,27728,66
2009,18,HIMACHAL PRADESH,KULLU,5875,12191,13025,31091,73
2010,18,HIMACHAL PRADESH,KULLU,5895,13558,15733,35187,81
2011,18,HIMACHAL PRADESH,KULLU,6806,14888,19071,40765,93
2012,18,HIMACHAL PRADESH,KULLU,7845,16212,21953,46011,104
2013,18,HIMACHAL PRADESH,KULLU,8721,17033,25421,51175,114
2007,18,HIMACHAL PRADESH,LAHUL & SPITI,483,946,1706,3136,97
2008,18,HIMACHAL PRADESH,LAHUL & SPITI,485,1041,2107,3632,113
2009,18,HIMACHAL PRADESH,LAHUL & SPITI,452,1075,2491,4017,126
2010,18,HIMACHAL PRADESH,LAHUL & SPITI,428,1090,2952,4469,141
2011,18,HIMACHAL PRADESH,LAHUL & SPITI,499,1107,3415,5021,159
2012,18,HIMACHAL PRADESH,LAHUL & SPITI,543,1195,3873,5612,179
2013,18,HIMACHAL PRADESH,LAHUL & SPITI,584,1310,4326,6219,199
2007,18,HIMACHAL PRADESH,SOLAN,7772,26250,14288,48309,88
2008,18,HIMACHAL PRADESH,SOLAN,6825,37827,17552,62204,112
2009,18,HIMACHAL PRADESH,SOLAN,6093,47521,21325,74940,133
2010,18,HIMACHAL PRADESH,SOLAN,7007,57581,26147,90735,159
2011,18,HIMACHAL PRADESH,SOLAN,8412,59958,30600,98970,171
2012,18,HIMACHAL PRADESH,SOLAN,10663,63371,35955,109990,187
2013,18,HIMACHAL PRADESH,SOLAN,12834,67284,41870,121988,204
2007,18,HIMACHAL PRADESH,MANDI,11841,11581,12728,36150,38
2008,18,HIMACHAL PRADESH,MANDI,11887,14757,15417,42061,43
2009,18,HIMACHAL PRADESH,MANDI,12383,17357,18147,47887,49
2010,18,HIMACHAL PRADESH,MANDI,20071,20068,22184,62324,63
2011,18,HIMACHAL PRADESH,MANDI,21846,23391,25896,71132,71
2012,18,HIMACHAL PRADESH,MANDI,25309,25614,30045,80968,80
2013,18,HIMACHAL PRADESH,MANDI,27748,26836,35584,90167,88
2007,18,HIMACHAL PRADESH,SHIMLA,6441,17462,20484,44386,57
2008,18,HIMACHAL PRADESH,SHIMLA,6595,21799,24534,52928,67
2009,18,HIMACHAL PRADESH,SHIMLA,8498,23670,28762,60930,77
2010,18,HIMACHAL PRADESH,SHIMLA,9948,26493,33327,69768,87
2011,18,HIMACHAL PRADESH,SHIMLA,11334,28244,37341,76918,94
2012,18,HIMACHAL PRADESH,SHIMLA,13310,30381,42079,85770,104
2013,18,HIMACHAL PRADESH,SHIMLA,14941,32235,48239,95414,114
2007,19,KERALA,ALAPPUZHA,12709,28707,61919,103335,50
2008,19,KERALA,ALAPPUZHA,13797,33044,75185,122025,59
2009,19,KERALA,ALAPPUZHA,17079,37801,88617,143497,69
2010,19,KERALA,ALAPPUZHA,18244,44711,97001,159956,76
2011,19,KERALA,ALAPPUZHA,20271,51378,114921,186569,88
2012,19,KERALA,ALAPPUZHA,22713,62527,129083,214322,99
2013,19,KERALA,ALAPPUZHA,24781,70271,148121,243172,111
2007,19,KERALA,KANNUR,21337,24701,67309,113346,46
2008,19,KERALA,KANNUR,24564,26415,79187,130165,53
2009,19,KERALA,KANNUR,22573,31922,92599,147093,59
2010,19,KERALA,KANNUR,35459,38486,99129,173074,69
2011,19,KERALA,KANNUR,41460,47993,112249,201702,80
2012,19,KERALA,KANNUR,43578,60957,122264,226799,89
2013,19,KERALA,KANNUR,49130,70361,138945,258437,100
2007,19,KERALA,ERANAKULAM,23244,82692,172899,278835,89
2008,19,KERALA,ERANAKULAM,26001,90509,209538,326047,103
2009,19,KERALA,ERANAKULAM,29532,98291,238877,366699,115
2010,19,KERALA,ERANAKULAM,32150,116212,264837,413199,128
2011,19,KERALA,ERANAKULAM,37303,136475,319378,493156,150
2012,19,KERALA,ERANAKULAM,40289,164071,352897,557257,167
2013,19,KERALA,ERANAKULAM,45298,187047,408504,640849,189
2007,19,KERALA,KOTTAYAM,24874,27137,77537,129548,67
2008,19,KERALA,KOTTAYAM,28491,29740,94175,152406,78
2009,19,KERALA,KOTTAYAM,35775,33672,111335,180781,93
2010,19,KERALA,KOTTAYAM,41368,41052,125249,207669,106
2011,19,KERALA,KOTTAYAM,49050,48537,148248,245835,125
2012,19,KERALA,KOTTAYAM,51819,60751,169248,281819,142
2013,19,KERALA,KOTTAYAM,59192,69874,194187,323253,161
2007,19,KERALA,KOZHIKODE,18713,31943,83515,134170,47
2008,19,KERALA,KOZHIKODE,20479,34133,99065,153678,53
2009,19,KERALA,KOZHIKODE,15737,38080,114707,168524,57
2010,19,KERALA,KOZHIKODE,21481,46093,123755,191329,63
2011,19,KERALA,KOZHIKODE,24079,52608,140118,216804,70
2012,19,KERALA,KOZHIKODE,25797,66496,154873,247166,78
2013,19,KERALA,KOZHIKODE,28335,77194,177586,283115,87
2007,19,KERALA,MALAPPURAM,24119,25216,93427,142761,40
2008,19,KERALA,MALAPPURAM,27164,27125,113930,168219,46
2009,19,KERALA,MALAPPURAM,27312,31513,136749,195574,52
2010,19,KERALA,MALAPPURAM,34042,39575,152955,226572,58
2011,19,KERALA,MALAPPURAM,39978,47762,178869,266609,65
2012,19,KERALA,MALAPPURAM,43196,62838,205256,311290,71
2013,19,KERALA,MALAPPURAM,49290,75103,241822,366215,79
2007,19,KERALA,PALAKKAD,20777,31344,62763,114884,42
2008,19,KERALA,PALAKKAD,24117,32759,74725,131602,48
2009,19,KERALA,PALAKKAD,28693,38081,88274,155047,56
2010,19,KERALA,PALAKKAD,29339,44251,95890,169479,61
2011,19,KERALA,PALAKKAD,33880,52228,109702,195810,70
2012,19,KERALA,PALAKKAD,34881,62318,121669,218868,77
2013,19,KERALA,PALAKKAD,38987,72853,139799,251639,87
2007,19,KERALA,KOLLAM,21937,33867,69465,125269,50
2008,19,KERALA,KOLLAM,25443,36761,81951,144155,57
2009,19,KERALA,KOLLAM,25350,42717,95340,163406,64
2010,19,KERALA,KOLLAM,32078,53095,104027,189199,73
2011,19,KERALA,KOLLAM,37587,62936,119681,220204,84
2012,19,KERALA,KOLLAM,40703,79404,133154,253260,94
2013,19,KERALA,KOLLAM,46197,92053,152969,291219,105
2007,19,KERALA,THRISSUR,17500,36380,99204,153084,54
2008,19,KERALA,THRISSUR,19884,39357,116703,175944,61
2009,19,KERALA,THRISSUR,19920,44360,134665,198945,68
2010,19,KERALA,THRISSUR,24200,53909,146473,224582,74
2011,19,KERALA,THRISSUR,27971,60677,168318,256965,82
2012,19,KERALA,THRISSUR,29624,76336,187720,293680,90
2013,19,KERALA,THRISSUR,33260,88814,218624,340699,100
2007,19,KERALA,THIRUVANANTHAPURAM,25829,48372,153504,227705,71
2008,19,KERALA,THIRUVANANTHAPURAM,29649,51330,181976,262954,82
2009,19,KERALA,THIRUVANANTHAPURAM,26621,58572,206309,291502,90
2010,19,KERALA,THIRUVANANTHAPURAM,37148,72715,221440,331303,101
2011,19,KERALA,THIRUVANANTHAPURAM,42931,90777,263110,396817,120
2012,19,KERALA,THIRUVANANTHAPURAM,46502,116513,287312,450327,135
2013,19,KERALA,THIRUVANANTHAPURAM,52211,136391,323620,512222,151
2007,8,ORISSA,BALASORE,15632,18567,22211,56411,26
2008,8,ORISSA,BALASORE,16203,21604,27464,65271,29
2009,8,ORISSA,BALASORE,17598,21180,33414,72192,32
2010,8,ORISSA,BALASORE,21374,24900,41571,87845,38
2011,8,ORISSA,BALASORE,21006,27513,46942,95461,41
2012,8,ORISSA,BALASORE,28843,33418,55618,117878,50
2013,8,ORISSA,BALASORE,32680,37239,65288,135208,57
2007,8,ORISSA,BOLANGIR,13553,8539,17765,39857,26
2008,8,ORISSA,BOLANGIR,13243,9553,21947,44743,29
2009,8,ORISSA,BOLANGIR,13220,9813,26623,49655,31
2010,8,ORISSA,BOLANGIR,13051,11989,33493,58533,36
2011,8,ORISSA,BOLANGIR,12775,13700,37852,64326,39
2012,8,ORISSA,BOLANGIR,17683,16456,44122,78262,46
2013,8,ORISSA,BOLANGIR,20240,17985,51645,89870,52
2007,8,ORISSA,CUTTACK,14850,38032,40687,93569,37
2008,8,ORISSA,CUTTACK,15927,42993,49388,108308,43
2009,8,ORISSA,CUTTACK,18427,42109,58130,118665,46
2010,8,ORISSA,CUTTACK,19725,51103,69467,140295,54
2011,8,ORISSA,CUTTACK,19634,54607,78321,152562,58
2012,8,ORISSA,CUTTACK,27705,65751,89125,182581,69
2013,8,ORISSA,CUTTACK,32140,72567,108033,212740,79
2007,8,ORISSA,DHENKANAL,10025,10616,14521,35161,31
2008,8,ORISSA,DHENKANAL,9808,11972,17878,39658,34
2009,8,ORISSA,DHENKANAL,9827,12085,21892,43804,38
2010,8,ORISSA,DHENKANAL,10099,15039,27096,52234,44
2011,8,ORISSA,DHENKANAL,9669,18539,31007,59215,50
2012,8,ORISSA,DHENKANAL,12936,22528,36368,71832,60
2013,8,ORISSA,DHENKANAL,14402,24892,42308,81601,67
2007,8,ORISSA,GANJAM,21309,21810,54114,97232,29
2008,8,ORISSA,GANJAM,21158,24339,65232,110729,32
2009,8,ORISSA,GANJAM,23232,23792,78794,125818,36
2010,8,ORISSA,GANJAM,25355,30831,96260,152446,44
2011,8,ORISSA,GANJAM,24543,33892,106750,165185,47
2012,8,ORISSA,GANJAM,32313,41212,122129,195653,55
2013,8,ORISSA,GANJAM,35718,45593,137893,219204,61
2007,8,ORISSA,KALAHANDI,13961,6015,11327,31304,21
2008,8,ORISSA,KALAHANDI,13064,6651,13502,33217,22
2009,8,ORISSA,KALAHANDI,12261,6589,16887,35737,23
2010,8,ORISSA,KALAHANDI,13068,8187,20088,41344,27
2011,8,ORISSA,KALAHANDI,12308,9072,22325,43705,28
2012,8,ORISSA,KALAHANDI,16242,10995,25514,52751,33
2013,8,ORISSA,KALAHANDI,17855,11978,28679,58511,36
2007,8,ORISSA,KEONJHAR,12808,39044,19780,71632,42
2008,8,ORISSA,KEONJHAR,12158,48938,24377,85473,50
2009,8,ORISSA,KEONJHAR,13896,47623,29873,91392,52
2010,8,ORISSA,KEONJHAR,14737,63572,37657,115966,65
2011,8,ORISSA,KEONJHAR,14098,67536,42392,124026,69
2012,8,ORISSA,KEONJHAR,19059,74653,49849,143562,79
2013,8,ORISSA,KEONJHAR,21350,80969,58094,160413,87
2007,8,ORISSA,KORAPUT,12930,10370,12547,35847,28
2008,8,ORISSA,KORAPUT,12683,11629,14899,39210,30
2009,8,ORISSA,KORAPUT,9135,11536,17571,38242,29
2010,8,ORISSA,KORAPUT,13221,14662,20628,48511,36
2011,8,ORISSA,KORAPUT,12631,16020,22476,51127,37
2012,8,ORISSA,KORAPUT,17139,18300,25160,60599,43
2013,8,ORISSA,KORAPUT,19208,19737,28074,67018,47
2007,8,ORISSA,MAYURBHANJA,19290,12199,19100,50589,21
2008,8,ORISSA,MAYURBHANJA,19423,14113,22207,55743,23
2009,8,ORISSA,MAYURBHANJA,21709,14036,25447,61192,25
2010,8,ORISSA,MAYURBHANJA,22112,16168,29868,68149,27
2011,8,ORISSA,MAYURBHANJA,21464,17284,32239,70986,28
2012,8,ORISSA,MAYURBHANJA,29524,20562,36026,86111,34
2013,8,ORISSA,MAYURBHANJA,33594,22515,40984,97092,38
2007,8,ORISSA,PHULBANI ( KANDHAMAL ),4670,3020,5382,13072,19
2008,8,ORISSA,PHULBANI ( KANDHAMAL ),3992,3347,6047,13386,19
2009,8,ORISSA,PHULBANI ( KANDHAMAL ),3757,3741,7155,14653,21
2010,8,ORISSA,PHULBANI ( KANDHAMAL ),3977,4551,7850,16378,23
2011,8,ORISSA,PHULBANI ( KANDHAMAL ),3730,5196,8394,17320,24
2012,8,ORISSA,PHULBANI ( KANDHAMAL ),4452,6247,9018,19717,27
2013,8,ORISSA,PHULBANI ( KANDHAMAL ),4834,6732,9866,21432,28
2007,8,ORISSA,PURI,10973,11689,22841,45503,28
2008,8,ORISSA,PURI,10262,13200,28076,51538,31
2009,8,ORISSA,PURI,10796,12598,34691,58085,35
2010,8,ORISSA,PURI,12448,14934,42768,70150,42
2011,8,ORISSA,PURI,12655,15184,49279,77118,45
2012,8,ORISSA,PURI,16718,17967,57417,92103,54
2013,8,ORISSA,PURI,18813,19437,67199,105449,61
2007,8,ORISSA,SAMBALPUR,10664,21035,14699,46398,47
2008,8,ORISSA,SAMBALPUR,10420,23795,17570,51785,51
2009,8,ORISSA,SAMBALPUR,13123,23317,21819,58260,57
2010,8,ORISSA,SAMBALPUR,15383,27995,25634,69012,67
2011,8,ORISSA,SAMBALPUR,14507,29507,28670,72684,70
2012,8,ORISSA,SAMBALPUR,19399,32841,32487,84726,81
2013,8,ORISSA,SAMBALPUR,21410,34807,36595,92811,87
2007,8,ORISSA,SUNDARGARH,12282,71117,28349,111748,56
2008,8,ORISSA,SUNDARGARH,12265,87011,33964,133240,66
2009,8,ORISSA,SUNDARGARH,13690,85370,40809,139868,69
2010,8,ORISSA,SUNDARGARH,15872,109853,48365,174090,84
2011,8,ORISSA,SUNDARGARH,15184,119488,53006,187678,90
2012,8,ORISSA,SUNDARGARH,20389,136074,60111,216573,102
2013,8,ORISSA,SUNDARGARH,22801,147740,68882,239422,111
2007,13,WEST BENGAL,24 PARGANAS,52278,43920,171254,267450,31
2008,13,WEST BENGAL,24 PARGANAS,56677,48290,202326,307293,35
2009,13,WEST BENGAL,24 PARGANAS,62151,52612,245932,360694,40
2010,13,WEST BENGAL,24 PARGANAS,66036,61412,287290,414737,46
2011,13,WEST BENGAL,24 PARGANAS,74169,69640,342757,486565,53
2012,13,WEST BENGAL,24 PARGANAS,82302,79742,406877,568920,61
2013,13,WEST BENGAL,24 PARGANAS,96051,92617,474174,662842,69
2007,13,WEST BENGAL,NADIA,33535,19403,62099,115037,23
2008,13,WEST BENGAL,NADIA,33953,20941,71310,126205,25
2009,13,WEST BENGAL,NADIA,52420,23649,83445,159514,32
2010,13,WEST BENGAL,NADIA,61754,26577,95690,184021,36
2011,13,WEST BENGAL,NADIA,64412,30483,110523,205418,40
2012,13,WEST BENGAL,NADIA,67261,34187,128306,229754,44
2013,13,WEST BENGAL,NADIA,70754,39161,145145,255061,48
2007,13,WEST BENGAL,MURSHIDABAD,56718,20808,50555,128082,20
2008,13,WEST BENGAL,MURSHIDABAD,59897,22519,59786,142202,21
2009,13,WEST BENGAL,MURSHIDABAD,82542,26154,72461,181157,27
2010,13,WEST BENGAL,MURSHIDABAD,86228,30298,86142,202668,29
2011,13,WEST BENGAL,MURSHIDABAD,93772,36784,102982,233539,33
2012,13,WEST BENGAL,MURSHIDABAD,102460,42766,122026,267252,37
2013,13,WEST BENGAL,MURSHIDABAD,111628,48458,141367,301452,41
2007,13,WEST BENGAL,BURDWAN,71150,78402,135747,285299,39
2008,13,WEST BENGAL,BURDWAN,75215,85389,156114,316718,42
2009,13,WEST BENGAL,BURDWAN,85557,92391,181543,359491,48
2010,13,WEST BENGAL,BURDWAN,98059,97111,209550,404721,53
2011,13,WEST BENGAL,BURDWAN,107859,145236,242962,496058,64
2012,13,WEST BENGAL,BURDWAN,119218,161528,279609,560355,72
2013,13,WEST BENGAL,BURDWAN,130565,178537,315259,624361,79
2007,13,WEST BENGAL,BIRBHUM,35755,13320,31879,80954,25
2008,13,WEST BENGAL,BIRBHUM,38250,14534,36479,89263,27
2009,13,WEST BENGAL,BIRBHUM,53419,16837,43187,113444,33
2010,13,WEST BENGAL,BIRBHUM,64381,19857,49859,134096,39
2011,13,WEST BENGAL,BIRBHUM,70198,24086,58179,152463,44
2012,13,WEST BENGAL,BIRBHUM,77093,26743,67261,171097,48
2013,13,WEST BENGAL,BIRBHUM,83637,30916,76107,190660,53
2007,13,WEST BENGAL,BANKURA,44200,13055,41409,98663,29
2008,13,WEST BENGAL,BANKURA,50244,14260,48722,113226,33
2009,13,WEST BENGAL,BANKURA,68919,16200,58703,143822,41
2010,13,WEST BENGAL,BANKURA,82255,18544,71296,172095,48
2011,13,WEST BENGAL,BANKURA,93186,21135,86824,201145,56
2012,13,WEST BENGAL,BANKURA,105597,23608,106290,235495,65
2013,13,WEST BENGAL,BANKURA,118402,26273,122962,267637,73
2007,13,WEST BENGAL,HOOGHLY,55954,31387,98408,185749,35
2008,13,WEST BENGAL,HOOGHLY,60089,34447,114993,209530,39
2009,13,WEST BENGAL,HOOGHLY,66583,37829,138609,243021,45
2010,13,WEST BENGAL,HOOGHLY,65237,42077,161981,269295,49
2011,13,WEST BENGAL,HOOGHLY,72415,45686,193347,311448,56
2012,13,WEST BENGAL,HOOGHLY,80433,51052,232375,363860,65
2013,13,WEST BENGAL,HOOGHLY,89181,58611,268928,416720,74
2007,13,WEST BENGAL,HOWRAH,13489,58055,101464,173007,38
2008,13,WEST BENGAL,HOWRAH,14094,63170,119319,196583,42
2009,13,WEST BENGAL,HOWRAH,14975,70527,141369,226871,48
2010,13,WEST BENGAL,HOWRAH,14913,81302,166449,262664,55
2011,13,WEST BENGAL,HOWRAH,16703,86315,194983,298001,61
